# Oscilloscope Data

# Seconds	Date	Time	gu16RMSIdx	setting_counter	autotime_counter	gfRMSCurrent	gfFlowSMF	gfO2flow	gfO2concentration	gfO2temperature
10.694	2023/07/13	14:21:52.714	7076	1	0	1.42777	0.0333333	0	51.6	25.3
10.794	2023/07/13	14:21:52.813	7080	1	0	1.44958	0	0	51.7	25.3
10.894	2023/07/13	14:21:52.913	7084	1	0	1.47605	0	0	51.7	25.3
10.994	2023/07/13	14:21:53.013	7088	1	0	1.51172	0.0333333	0	51.7	25.3
11.094	2023/07/13	14:21:53.113	7093	1	0	1.53908	0.0333333	0	51.7	25.3
11.194	2023/07/13	14:21:53.213	7097	1	0	1.57	-0.0333333	0	51.7	25.3
11.294	2023/07/13	14:21:53.313	7101	1	0	1.58417	0.0333333	0	51.7	25.3
11.394	2023/07/13	14:21:53.413	7105	1	0	1.60351	0.0333333	0	51.7	25.3
11.494	2023/07/13	14:21:53.513	7109	1	0	1.88143	-10.7667	0	51.7	25.3
11.594	2023/07/13	14:21:53.613	7113	1	0	1.89929	-8.1	0	51.7	25.3
11.694	2023/07/13	14:21:53.713	7117	1	0	1.91221	-6.53333	0	51.7	25.3
11.794	2023/07/13	14:21:53.813	7121	1	0	1.79426	-5.8	0	51.7	25.3
11.894	2023/07/13	14:21:53.913	7125	1	0	1.71182	-0.166667	0	51.7	25.3
11.994	2023/07/13	14:21:54.013	7130	1	0	1.72457	-0.0333333	0	51.7	25.3
12.050	2023/07/13	14:21:54.069	7132	1	0	1.71834	0.0666667	0	51.7	25.3
12.150	2023/07/13	14:21:54.169	7136	1	0	1.7166	0	0	51.7	25.3
12.250	2023/07/13	14:21:54.269	7140	1	0	1.77835	0	59.1	51.7	25.3
12.350	2023/07/13	14:21:54.369	7144	1	0	1.77598	-0.0333333	59.1	51.7	25.3
12.450	2023/07/13	14:21:54.469	7148	1	0	1.78195	0	59.1	51.7	25.3
12.550	2023/07/13	14:21:54.569	7152	1	0	1.87188	-0.0333333	59.1	51.7	25.3
12.650	2023/07/13	14:21:54.669	7156	1	0	1.84762	0.0333333	59.1	51.7	25.3
