# Oscilloscope Data

# Seconds	Date	Time	gu16RMSIdx	setting number	duration of test	gfRMSCurrent	gfFlowSMF	gfO2flow	gfO2concentration	gfO2temperature
246.207	2023/07/13	11:54:55.496	0	0	1	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.307	2023/07/13	11:54:55.596	0	0	2	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.408	2023/07/13	11:54:55.697	0	0	1	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.408	2023/07/13	11:54:55.697	0	0	1	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.507	2023/07/13	11:54:55.796	0	0	1	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.607	2023/07/13	11:54:55.896	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.707	2023/07/13	11:54:55.996	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.807	2023/07/13	11:54:56.096	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
246.907	2023/07/13	11:54:56.196	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.007	2023/07/13	11:54:56.296	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.107	2023/07/13	11:54:56.396	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.207	2023/07/13	11:54:56.496	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.307	2023/07/13	11:54:56.596	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.408	2023/07/13	11:54:56.697	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.507	2023/07/13	11:54:56.796	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.607	2023/07/13	11:54:56.896	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.707	2023/07/13	11:54:56.996	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.807	2023/07/13	11:54:57.096	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
247.907	2023/07/13	11:54:57.196	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.007	2023/07/13	11:54:57.296	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.107	2023/07/13	11:54:57.396	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.207	2023/07/13	11:54:57.496	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.307	2023/07/13	11:54:57.596	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.407	2023/07/13	11:54:57.697	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.410	2023/07/13	11:54:57.700	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.510	2023/07/13	11:54:57.799	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.610	2023/07/13	11:54:57.899	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.710	2023/07/13	11:54:57.999	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.810	2023/07/13	11:54:58.099	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
248.910	2023/07/13	11:54:58.199	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.010	2023/07/13	11:54:58.299	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.110	2023/07/13	11:54:58.399	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.210	2023/07/13	11:54:58.499	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.310	2023/07/13	11:54:58.599	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.411	2023/07/13	11:54:58.700	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.510	2023/07/13	11:54:58.799	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.610	2023/07/13	11:54:58.899	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.710	2023/07/13	11:54:58.999	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.810	2023/07/13	11:54:59.099	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
249.910	2023/07/13	11:54:59.199	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.010	2023/07/13	11:54:59.299	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.110	2023/07/13	11:54:59.399	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.210	2023/07/13	11:54:59.499	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.310	2023/07/13	11:54:59.599	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.411	2023/07/13	11:54:59.700	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.413	2023/07/13	11:54:59.702	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.512	2023/07/13	11:54:59.801	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.612	2023/07/13	11:54:59.901	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.712	2023/07/13	11:55:00.001	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.812	2023/07/13	11:55:00.101	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
250.912	2023/07/13	11:55:00.201	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.012	2023/07/13	11:55:00.301	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.112	2023/07/13	11:55:00.401	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.212	2023/07/13	11:55:00.501	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.312	2023/07/13	11:55:00.601	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.412	2023/07/13	11:55:00.702	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.512	2023/07/13	11:55:00.801	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.612	2023/07/13	11:55:00.901	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.712	2023/07/13	11:55:01.001	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.812	2023/07/13	11:55:01.101	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
251.912	2023/07/13	11:55:01.201	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.012	2023/07/13	11:55:01.301	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.112	2023/07/13	11:55:01.401	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.212	2023/07/13	11:55:01.501	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.312	2023/07/13	11:55:01.601	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.412	2023/07/13	11:55:01.702	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.414	2023/07/13	11:55:01.703	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.513	2023/07/13	11:55:01.802	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.613	2023/07/13	11:55:01.902	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.713	2023/07/13	11:55:02.002	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
252.813	2023/07/13	11:55:02.102	0	0	0	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38	1.17549e-38
